Company,Sector,Year,Carbon_Emissions_tCO2,Energy_Consumption_MWh,Renewable_Energy_%,Water_Usage_KL,Waste_Generated_Tons,Employee_Count,Women_in_Workforce_%,Safety_Incidents,Board_Diversity_%,ESG_Score,ESG_Rating
Company_A,Manufacturing,2021,197.3,629.5,78.5,4116.1,19.4,2533,41.5,19,38.8,60.2,A
Company_B,Manufacturing,2021,430.2,802.9,79.6,1608.8,186.5,1228,32.3,2,31.6,39.2,C
Company_C,Energy,2021,357.2,155.7,68.3,2920.2,156.5,6969,27.2,10,23.7,40.1,C
Company_D,Healthcare,2021,341.4,190.0,50.5,1974.4,123.9,6709,37.0,1,15.9,38.9,C
Company_E,Healthcare,2021,343.1,371.0,19.5,2886.6,120.3,3431,21.6,12,50.0,24.9,C
Company_F,Healthcare,2021,439.3,807.0,61.8,3005.4,92.6,8651,34.4,10,42.6,33.7,C
Company_G,Finance,2021,122.8,838.2,75.2,1916.4,174.4,8528,46.5,10,33.8,66.7,A
Company_H,Manufacturing,2021,307.0,804.3,31.6,1935.2,51.9,8797,48.2,0,29.9,39.4,C
Company_I,IT,2021,435.7,432.6,65.9,4441.5,158.8,3519,47.0,10,39.5,39.0,C
Company_J,Manufacturing,2021,98.8,669.4,52.3,2061.6,185.8,650,44.3,13,20.6,61.1,A
Company_K,IT,2021,103.3,236.9,22.7,3929.2,95.9,8337,44.3,15,25.9,51.8,B
Company_L,IT,2021,393.7,651.9,37.3,966.5,43.6,2137,23.2,16,43.5,26.7,C
Company_M,Finance,2021,290.0,565.4,37.2,769.9,154.5,9295,20.5,15,35.6,34.1,C
Company_N,Energy,2021,266.5,545.1,49.1,1381.5,25.0,9967,40.8,11,30.5,45.7,B
Company_O,Manufacturing,2021,468.9,345.9,19.4,3732.3,160.6,3188,42.4,13,17.7,21.0,C
Company_A,Healthcare,2022,99.9,248.2,24.3,1630.5,149.7,8343,32.0,13,27.1,48.9,B
Company_B,Retail,2022,378.3,879.8,47.3,2575.4,76.6,3265,32.9,8,48.2,33.8,C
Company_C,IT,2022,189.4,211.1,49.0,3880.3,105.7,4648,32.7,8,16.7,49.4,B
Company_D,Healthcare,2022,475.1,329.0,55.7,1783.4,98.8,2886,50.4,2,18.9,33.8,C
Company_E,IT,2022,119.4,741.6,41.3,3963.9,126.8,8548,43.9,19,40.7,56.0,B
Company_F,Manufacturing,2022,252.8,911.1,37.9,1428.3,136.3,3225,37.1,0,21.7,42.3,C
Company_G,Retail,2022,292.5,716.6,67.4,4539.8,77.2,706,42.9,1,43.0,49.7,B
Company_H,Manufacturing,2022,323.0,448.3,27.3,687.7,72.5,3684,21.2,19,49.8,28.7,C
Company_I,IT,2022,196.2,590.8,68.1,1700.4,179.8,5923,49.7,9,15.4,59.6,B
Company_J,Healthcare,2022,404.5,766.3,46.0,3718.2,85.3,8268,37.7,16,46.7,32.8,C
Company_K,Energy,2022,205.4,255.0,27.8,4625.6,191.5,4786,29.2,1,43.9,40.7,C
Company_L,IT,2022,418.8,891.1,58.2,2638.0,127.7,7878,44.7,17,18.8,37.4,C
Company_M,Healthcare,2022,358.8,780.1,66.0,3512.8,55.8,2520,25.1,14,48.6,38.6,C
Company_N,Retail,2022,347.5,886.7,61.5,4117.6,117.9,7472,54.6,16,33.0,47.0,B
Company_O,IT,2022,448.2,787.9,51.9,1877.3,197.2,8384,40.3,4,44.3,31.8,C
Company_A,Manufacturing,2023,173.4,504.5,19.6,2195.8,16.9,1967,50.2,19,33.9,47.1,B
Company_B,Energy,2023,369.7,257.5,19.3,1416.8,115.8,4209,40.7,5,33.3,28.4,C
Company_C,IT,2023,305.6,192.9,78.3,4934.0,135.3,8691,21.1,5,48.0,45.4,B
Company_D,Retail,2023,144.5,255.2,70.7,4658.7,145.2,9626,52.3,5,20.1,65.3,A
Company_E,Manufacturing,2023,417.3,113.4,26.1,4500.3,13.1,9052,33.5,13,28.3,24.5,C
Company_F,Manufacturing,2023,459.5,557.1,54.2,3521.6,116.0,8378,45.0,3,15.4,33.0,C
Company_G,Manufacturing,2023,418.0,270.4,36.9,918.2,21.7,4354,51.4,9,47.5,33.0,C
Company_H,Healthcare,2023,159.8,949.1,51.3,3898.0,159.4,5027,34.7,17,37.5,53.0,B
Company_I,IT,2023,191.7,467.8,78.8,1923.8,138.5,2100,21.2,6,40.7,54.7,B
Company_J,Manufacturing,2023,255.7,776.4,74.1,515.8,165.3,5070,53.0,18,28.3,57.7,B
Company_K,Manufacturing,2023,199.1,912.6,13.2,2447.8,180.4,6888,34.8,2,17.6,38.5,C
Company_L,Healthcare,2023,226.8,433.9,70.7,3690.3,143.8,4183,54.5,0,43.3,59.4,B
Company_M,Retail,2023,195.8,458.9,67.3,4623.4,61.1,8191,21.5,19,15.5,51.0,B
Company_N,Retail,2023,392.1,486.9,48.4,1823.9,36.8,9253,45.4,18,36.8,36.8,C
Company_O,IT,2023,224.8,513.2,11.1,1553.4,92.4,9600,38.2,20,34.8,36.8,C
Company_A,Energy,2024,288.1,713.9,54.9,4017.2,23.8,1001,33.0,18,30.0,43.3,C
Company_B,Finance,2024,254.1,169.8,41.8,2196.7,141.7,4378,24.4,2,19.6,39.5,C
Company_C,Healthcare,2024,393.8,422.7,69.4,3339.8,119.7,3560,33.3,9,49.2,39.3,C
Company_D,Retail,2024,434.7,784.9,78.6,3072.4,187.6,1693,47.4,11,26.7,43.0,C
Company_E,Finance,2024,487.2,206.0,44.1,1808.5,27.1,2760,37.1,12,36.1,25.4,C
Company_F,Manufacturing,2024,93.5,705.7,68.4,2981.4,63.3,7099,52.9,13,24.3,68.9,A
Company_G,IT,2024,113.4,948.7,33.4,3144.4,95.4,4830,45.2,11,24.3,54.5,B
Company_H,IT,2024,97.4,598.2,57.7,2177.8,168.4,1243,31.2,16,19.4,58.9,B
Company_I,Retail,2024,113.7,860.1,35.7,4237.3,145.0,795,52.8,1,17.2,57.5,B
Company_J,Energy,2024,148.8,733.7,34.0,1738.0,20.0,3312,27.4,4,24.7,46.5,B
Company_K,Energy,2024,496.3,552.8,74.4,3249.6,178.6,5087,20.2,2,32.0,28.7,C
Company_L,Healthcare,2024,475.4,835.1,22.8,3599.8,146.2,4438,23.2,13,17.5,15.8,C
Company_M,Retail,2024,465.9,815.4,36.1,2666.6,21.2,6257,53.0,20,39.4,29.5,C
Company_N,Manufacturing,2024,91.2,616.9,78.2,3246.9,170.3,2289,54.3,2,26.0,72.5,A
Company_O,Energy,2024,86.4,892.1,62.1,1523.4,165.2,7718,21.9,18,19.8,58.3,B
